Percentile,Value
1,6952.72
2,11111.54
3,15270.36
4,19429.18
5,23588.00
6,23896.70
7,24205.40
8,24514.10
9,24822.80
10,25131.50
11,25440.20
12,25748.90
13,26057.60
14,26366.30
15,26675.00
16,27429.60
17,28184.20
18,28938.80
19,29693.40
20,30448.00
21,31202.60
22,31957.20
23,32711.80
24,33466.40
25,34221.00
26,34729.70
27,35238.40
28,35747.10
29,36255.80
30,36764.50
31,37273.20
32,37781.90
33,38290.60
34,38799.30
35,39308.00
36,39774.70
37,40241.40
38,40708.10
39,41174.80
40,41641.50
41,42108.20
42,42574.90
43,43041.60
44,43508.30
45,43975.00
46,44712.60
47,45450.20
48,46187.80
49,46925.40
50,47663.00
51,48400.60
52,49138.20
53,49875.80
54,50613.40
55,51351.00
56,52155.40
57,52959.80
58,53764.20
59,54568.60
60,55373.00
61,56177.40
62,56981.80
63,57786.20
64,58590.60
65,59395.00
66,60496.60
67,61598.20
68,62699.80
69,63801.40
70,64903.00
71,66004.60
72,67106.20
73,68207.80
74,69309.40
75,70411.00
76,72113.10
77,73815.20
78,75517.30
79,77219.40
80,78921.50
81,80623.60
82,82325.70
83,84027.80
84,85729.90
85,87432.00
86,92376.10
87,97320.20
88,102264.30
89,107208.40
90,112152.50
91,117096.60
92,122040.70
93,126984.80
94,131928.90
95,136873.00
96,140295.40
97,143717.80
98,147140.20
99,150562.60
